CreatedDate,Unnamed: 0,MeterSerialNo,ConsumerID,KVAH,KWH,RPhaseVoltage,YPhaseVoltage,BPhaseVoltage,RPhaseCurrent,YPhaseCurrent,BPhaseCurrent,ActivePower,ReactivePower,ApparentPower,TotalPowerFactor,Frequency,MaximumDemandKW,MaximumDemandKVA
2024-01-04 00:41:00,10991.0,93.0,119.0,7628.423,4006.985,261.21,255.34,259.99,1.801984126984127,3.101193181818182,0.52,0.13,655.33,0.14,0.985,50.011,0.43,1.0
2024-01-04 00:47:00,10990.0,93.0,119.0,7628.438,4006.999,261.96,254.82,258.8,1.801984126984127,3.101193181818182,0.52,0.13,655.33,0.14,0.977,49.931,0.43,1.0
2024-01-04 00:59:00,10988.0,93.0,119.0,7628.468,4007.026,262.92,255.98,261.11,1.801984126984127,3.101193181818182,0.52,0.13,655.32,0.14,0.977,50.069,0.43,1.0
2024-01-04 01:13:00,10987.0,93.0,119.0,7628.501,4007.056,262.71,256.07,260.46,1.8428859060402685,3.324077669902913,0.52,0.13,655.33,0.14,0.977,49.998,0.43,1.0
2024-01-04 01:19:00,10986.0,93.0,119.0,7628.516,4007.069,262.38,256.19,260.89,1.8428859060402685,3.324077669902913,0.51,0.12,655.32,0.14,0.977,49.992,0.43,1.0
2024-01-04 01:25:00,10985.0,93.0,119.0,7628.531,4007.083,261.82,255.7,260.77,1.8428859060402685,3.324077669902913,0.51,0.12,655.33,0.14,0.977,49.963,0.43,1.0
2024-01-04 01:38:00,10983.0,93.0,119.0,7628.561,4007.109,262.35,256.97,260.4,1.8428859060402685,3.324077669902913,0.5,0.12,655.33,0.14,0.976,50.024,0.43,1.0
2024-01-04 01:44:00,10982.0,93.0,119.0,7628.575,4007.122,262.75,255.7,261.02,1.8428859060402685,3.324077669902913,0.5,0.12,655.33,0.14,0.976,50.027,0.43,1.0
2024-01-04 01:50:00,10981.0,93.0,119.0,7628.59,4007.136,263.06,256.79,260.18,1.8428859060402685,3.324077669902913,0.5,0.12,655.33,0.14,0.976,50.019,0.43,1.0
2024-01-04 01:57:00,10980.0,93.0,119.0,7628.605,4007.149,263.42,255.29,260.97,1.8428859060402685,3.324077669902913,0.49,0.12,655.33,0.13,0.976,50.056,0.43,1.0
2024-01-04 11:27:00,10978.0,93.0,119.0,7631.225,4008.627,233.46,231.49,227.78,2.43,2.32,2.93,0.57,1.63,1.75,0.328,50.021,0.43,1.0
2024-01-04 11:38:00,10977.0,93.0,119.0,7631.549,4008.752,238.45,231.41,222.07,3.54,3.4,4.03,0.77,2.37,2.51,0.306,49.947,0.43,1.0
2024-01-04 11:50:00,10975.0,93.0,119.0,7632.014,4008.913,234.13,233.32,227.66,2.43,2.32,2.94,0.55,1.65,1.76,0.315,50.003,0.43,1.0
2024-01-04 12:20:00,10971.0,93.0,119.0,7633.111,4009.302,238.76,236.91,220.87,3.66,3.39,4.04,0.79,2.4,2.55,0.312,49.931,0.43,1.0
2024-01-04 12:26:00,10970.0,93.0,119.0,7633.308,4009.371,240.4,234.17,223.97,3.42424778761062,5.620333333333333,0.7,0.15,655.33,0.16,0.987,49.998,0.43,1.0
2024-01-04 12:45:00,10967.0,93.0,119.0,7633.621,4009.494,238.09,231.6,227.21,3.58,3.47,4.11,0.78,2.43,2.57,0.303,49.81,0.43,1.0
